Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,23064.724609375,tensor(0.7519),0.94427490234375,0.46957868
"['accusation', 'statement']",1,26723.271484375,tensor(0.6887),0.6129608154296875,0.6141321
"['ache', 'pain']",1,20071.884765625,tensor(0.8344),3.0576133728027344,0.792009
"['acid', 'chemical']",1,31747.421875,tensor(0.7228),4.621929168701172,0.6688291
"['acoustics', 'discipline']",1,43877.8515625,tensor(0.5213),1.6940650939941406,0.2169103
"['adjective', 'word']",1,25910.240234375,tensor(0.7129),1.8499107360839844,0.54793906
"['adrenaline', 'chemical']",1,27848.318359375,tensor(0.6245),10.188468933105469,0.3185321
"['adrenaline', 'neurotransmitter']",1,62078.984375,tensor(0.5295),15.823989868164062,0.4601583
"['aesthetic', 'doctrine']",1,37807.171875,tensor(0.6161),1.5834579467773438,0.25206384
"['affection', 'feeling']",1,27433.4921875,tensor(0.6847),1.1394920349121094,0.42875603
"['affidavit', 'document']",1,29037.73828125,tensor(0.7100),1.2067108154296875,0.4909209
"['agony', 'feeling']",1,25588.908203125,tensor(0.6881),10.462873458862305,0.5588775
"['aide', 'serviceman']",1,38374.76171875,tensor(0.6023),5.587963104248047,0.51717037
"['aircraft', 'vehicle']",1,41441.12109375,tensor(0.6475),1.0151786804199219,0.69587916
"['aircrew', 'crew']",1,55227.23828125,tensor(0.5459),2.647918701171875,0.6381318
"['airman', 'worker']",1,69166.828125,tensor(0.4387),2.6913223266601562,0.53281397
"['airplane', 'vehicle']",1,34142.41015625,tensor(0.6526),9.73001480102539,0.66822845
"['alcohol', 'fluid']",1,38971.890625,tensor(0.6345),3.127025604248047,0.28727418
"['alderman', 'representative']",1,40866.1015625,tensor(0.6203),1.9151191711425781,0.39338923
"['ale', 'alcohol']",1,31565.26171875,tensor(0.7369),16.18273162841797,0.4799216
"['ale', 'fluid']",1,48163.84375,tensor(0.5340),8.837902069091797,0.196772
"['alga', 'microorganism']",1,66637.703125,tensor(0.5277),8.648445129394531,0.7121451
"['algebra', 'mathematics']",1,38240.31640625,tensor(0.7138),1.227752685546875,0.7933232
"['algebra', 'science']",1,50130.9609375,tensor(0.5419),16.827713012695312,0.54851
"['alley', 'thoroughfare']",1,45229.79296875,tensor(0.6427),2.120624542236328,0.58826977
"['almond', 'tree']",1,34150.8671875,tensor(0.6228),3.118377685546875,0.5245944
"['alpha', 'symbol']",1,44928.875,tensor(0.5666),3.5318984985351562,0.37569895
"['ambassador', 'diplomat']",1,23140.607421875,tensor(0.8118),0.8889999389648438,0.7076417
"['ambassador', 'worker']",1,48746.16015625,tensor(0.5229),1.0159263610839844,0.3793004
"['amphetamine', 'drug']",1,40298.6015625,tensor(0.6981),2.2836227416992188,0.69282365
"['amphibian', 'vehicle']",1,66082.5625,tensor(0.4950),21.352798461914062,0.4021765
"['anaesthetic', 'drug']",1,42410.95703125,tensor(0.6511),11.144983291625977,0.46552542
"['anaesthetist', 'adult']",1,55140.65625,tensor(0.5259),2.4047584533691406,0.2869893
"['anaesthetist', 'professional']",1,55176.3671875,tensor(0.4995),15.804122924804688,0.37288308
