Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,481.6048583984375,tensor(0.7194),0.8599891662597656,0.46957868
"['accusation', 'statement']",1,505.8096923828125,tensor(0.7130),0.4912910461425781,0.6141321
"['ache', 'pain']",1,361.0772705078125,tensor(0.8394),2.6804122924804688,0.792009
"['acid', 'chemical']",1,570.4932861328125,tensor(0.7287),4.122711181640625,0.6688291
"['acoustics', 'discipline']",1,696.68505859375,tensor(0.5654),1.5450363159179688,0.2169103
"['adjective', 'word']",1,518.9142456054688,tensor(0.7477),2.316497802734375,0.54793906
"['adrenaline', 'chemical']",1,708.2921142578125,tensor(0.6080),10.036165237426758,0.3185321
"['adrenaline', 'neurotransmitter']",1,3314.5517578125,tensor(0.5560),15.365890502929688,0.4601583
"['aesthetic', 'doctrine']",1,862.3280029296875,tensor(0.6288),1.5562286376953125,0.25206384
"['affection', 'feeling']",1,428.38507080078125,tensor(0.7165),1.0888023376464844,0.42875603
"['affidavit', 'document']",1,697.8185424804688,tensor(0.7055),0.9934349060058594,0.4909209
"['agony', 'feeling']",1,393.997802734375,tensor(0.7080),10.133769989013672,0.5588775
"['aide', 'serviceman']",1,789.7166748046875,tensor(0.6037),5.083972930908203,0.51717037
"['aircraft', 'vehicle']",1,680.559326171875,tensor(0.6660),0.8888664245605469,0.69587916
"['aircrew', 'crew']",1,1060.4766845703125,tensor(0.5810),3.1775360107421875,0.6381318
"['airman', 'worker']",1,1388.0946044921875,tensor(0.4722),2.570514678955078,0.53281397
"['airplane', 'vehicle']",1,641.612060546875,tensor(0.6667),9.40145492553711,0.66822845
"['alcohol', 'fluid']",1,889.371337890625,tensor(0.6133),3.6373977661132812,0.28727418
"['alderman', 'representative']",1,505.7342529296875,tensor(0.6504),1.5514297485351562,0.39338923
"['ale', 'alcohol']",1,576.9824829101562,tensor(0.7447),14.53499984741211,0.4799216
"['ale', 'fluid']",1,1032.186279296875,tensor(0.5514),8.358917236328125,0.196772
"['alga', 'microorganism']",1,2915.3564453125,tensor(0.5260),7.5866546630859375,0.7121451
"['algebra', 'mathematics']",1,878.3515625,tensor(0.7105),0.8357200622558594,0.7933232
"['algebra', 'science']",1,920.841064453125,tensor(0.5487),16.14752960205078,0.54851
"['alley', 'thoroughfare']",1,1302.5169677734375,tensor(0.6591),1.7929801940917969,0.58826977
"['almond', 'tree']",1,705.9777221679688,tensor(0.6342),3.777172088623047,0.5245944
"['alpha', 'symbol']",1,1001.035400390625,tensor(0.5502),3.181415557861328,0.37569895
"['ambassador', 'diplomat']",1,456.2603759765625,tensor(0.8438),0.8581581115722656,0.7076417
"['ambassador', 'worker']",1,765.03515625,tensor(0.5602),1.0691108703613281,0.3793004
"['amphetamine', 'drug']",1,792.28369140625,tensor(0.7399),4.420951843261719,0.69282365
"['amphibian', 'vehicle']",1,1286.87548828125,tensor(0.5075),21.160045623779297,0.4021765
"['anaesthetic', 'drug']",1,980.56591796875,tensor(0.6422),12.194194793701172,0.46552542
"['anaesthetist', 'adult']",1,1236.9501953125,tensor(0.5276),2.747589111328125,0.2869893
"['anaesthetist', 'professional']",1,1036.785888671875,tensor(0.4897),15.381675720214844,0.37288308
"['analogy', 'inference']",1,592.8388061523438,tensor(0.7107),0.8929214477539062,0.6322878
"['anatomy', 'discipline']",1,482.010009765625,tensor(0.6813),9.96299934387207,0.4001617
"['aneurysm', 'disorder']",1,1378.0679931640625,tensor(0.5765),1.1392555236816406,0.5999374
"['anger', 'emotion']",1,462.15521240234375,tensor(0.7947),1.55767822265625,0.6962952
"['anger', 'feeling']",1,383.645263671875,tensor(0.7530),4.147430419921875,0.5643999
"['animosity', 'emotion']",1,959.5579833984375,tensor(0.6499),9.885902404785156,0.5295637
