Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,11517.728515625,tensor(0.7194),0.8698844909667969,0.46957868
"['accusation', 'statement']",1,9373.4921875,tensor(0.7130),0.54144287109375,0.6141321
"['ache', 'pain']",1,8703.86328125,tensor(0.8394),3.0225982666015625,0.792009
"['acid', 'chemical']",1,15099.943359375,tensor(0.7287),4.581920623779297,0.6688291
"['acoustics', 'discipline']",1,29294.00390625,tensor(0.5654),1.6435050964355469,0.2169103
"['adjective', 'word']",1,8292.640625,tensor(0.7477),1.7966423034667969,0.54793906
"['adrenaline', 'chemical']",1,14070.3984375,tensor(0.6080),10.117729187011719,0.3185321
"['adrenaline', 'neurotransmitter']",1,34202.18359375,tensor(0.5560),15.630287170410156,0.4601583
"['aesthetic', 'doctrine']",1,31220.80078125,tensor(0.6288),1.5458183288574219,0.25206384
"['affection', 'feeling']",1,12922.5205078125,tensor(0.7165),1.0911102294921875,0.42875603
"['affidavit', 'document']",1,18014.69140625,tensor(0.7055),1.1777610778808594,0.4909209
"['agony', 'feeling']",1,13885.8798828125,tensor(0.7080),10.387653350830078,0.5588775
"['aide', 'serviceman']",1,23166.607421875,tensor(0.6037),5.528434753417969,0.51717037
"['aircraft', 'vehicle']",1,14824.103515625,tensor(0.6660),0.9253349304199219,0.69587916
"['aircrew', 'crew']",1,19134.87890625,tensor(0.5810),2.6227378845214844,0.6381318
"['airman', 'worker']",1,47788.16015625,tensor(0.4722),2.6932411193847656,0.53281397
"['airplane', 'vehicle']",1,12371.404296875,tensor(0.6667),9.609945297241211,0.66822845
"['alcohol', 'fluid']",1,22173.73828125,tensor(0.6133),3.111042022705078,0.28727418
"['alderman', 'representative']",1,23453.123046875,tensor(0.6504),1.8405113220214844,0.39338923
"['ale', 'alcohol']",1,12902.0546875,tensor(0.7447),16.11914825439453,0.4799216
"['ale', 'fluid']",1,24674.80078125,tensor(0.5514),8.876232147216797,0.196772
"['alga', 'microorganism']",1,45377.734375,tensor(0.5260),8.307304382324219,0.7121451
"['algebra', 'mathematics']",1,22158.544921875,tensor(0.7105),0.9284286499023438,0.7933232
