Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,481.6046142578125,tensor(0.7194),0.8600311279296875,0.46957868
"['accusation', 'statement']",1,505.810302734375,tensor(0.7130),0.4912986755371094,0.6141321
"['ache', 'pain']",1,361.076416015625,tensor(0.8394),2.6803970336914062,0.792009
"['acid', 'chemical']",1,570.4932861328125,tensor(0.7287),4.122570037841797,0.6688291
"['acoustics', 'discipline']",1,696.6857299804688,tensor(0.5654),1.5450248718261719,0.2169103
"['adjective', 'word']",1,518.914306640625,tensor(0.7477),2.3165359497070312,0.54793906
"['adrenaline', 'chemical']",1,708.2918090820312,tensor(0.6080),10.036596298217773,0.3185321
"['adrenaline', 'neurotransmitter']",1,3314.542724609375,tensor(0.5560),15.367568969726562,0.4601583
"['aesthetic', 'doctrine']",1,862.3150634765625,tensor(0.6288),1.5562019348144531,0.25206384
"['affection', 'feeling']",1,428.38494873046875,tensor(0.7165),1.0887985229492188,0.42875603
"['affidavit', 'document']",1,697.8179931640625,tensor(0.7055),0.9933891296386719,0.4909209
"['agony', 'feeling']",1,393.9974365234375,tensor(0.7080),10.132709503173828,0.5588775
"['aide', 'serviceman']",1,789.7159423828125,tensor(0.6037),5.0841217041015625,0.51717037
"['aircraft', 'vehicle']",1,680.558349609375,tensor(0.6660),0.8888587951660156,0.69587916
"['aircrew', 'crew']",1,1060.4788818359375,tensor(0.5810),3.177520751953125,0.6381318
"['airman', 'worker']",1,1388.0950927734375,tensor(0.4722),2.57049560546875,0.53281397
"['airplane', 'vehicle']",1,641.612060546875,tensor(0.6667),9.403156280517578,0.66822845
"['alcohol', 'fluid']",1,889.370849609375,tensor(0.6133),3.6373023986816406,0.28727418
"['alderman', 'representative']",1,505.734130859375,tensor(0.6504),1.5512886047363281,0.39338923
"['ale', 'alcohol']",1,576.9830322265625,tensor(0.7447),14.535236358642578,0.4799216
"['ale', 'fluid']",1,1032.1856689453125,tensor(0.5514),8.358787536621094,0.196772
"['alga', 'microorganism']",1,2915.357421875,tensor(0.5260),7.586742401123047,0.7121451
"['algebra', 'mathematics']",1,878.351806640625,tensor(0.7105),0.8357009887695312,0.7933232
"['algebra', 'science']",1,920.840576171875,tensor(0.5487),16.144569396972656,0.54851
"['alley', 'thoroughfare']",1,1302.515380859375,tensor(0.6591),1.7930107116699219,0.58826977
"['almond', 'tree']",1,705.977294921875,tensor(0.6342),3.7771682739257812,0.5245944
"['alpha', 'symbol']",1,1001.0361328125,tensor(0.5502),3.181293487548828,0.37569895
"['ambassador', 'diplomat']",1,456.2603759765625,tensor(0.8438),0.8581504821777344,0.7076417
"['ambassador', 'worker']",1,765.035400390625,tensor(0.5602),1.0690956115722656,0.3793004
"['amphetamine', 'drug']",1,792.28369140625,tensor(0.7399),4.4209442138671875,0.69282365
"['amphibian', 'vehicle']",1,1286.874755859375,tensor(0.5075),21.160533905029297,0.4021765
"['anaesthetic', 'drug']",1,980.5654296875,tensor(0.6422),12.19455337524414,0.46552542
"['anaesthetist', 'adult']",1,1236.9500732421875,tensor(0.5276),2.7475242614746094,0.2869893
"['anaesthetist', 'professional']",1,1036.785888671875,tensor(0.4897),15.379547119140625,0.37288308
"['analogy', 'inference']",1,592.8389892578125,tensor(0.7107),0.8928871154785156,0.6322878
"['anatomy', 'discipline']",1,482.01007080078125,tensor(0.6813),9.964014053344727,0.4001617
"['aneurysm', 'disorder']",1,1378.0679931640625,tensor(0.5765),1.1392364501953125,0.5999374
"['anger', 'emotion']",1,462.15594482421875,tensor(0.7947),1.5577239990234375,0.6962952
"['anger', 'feeling']",1,383.6456298828125,tensor(0.7530),4.147502899169922,0.5643999
"['animosity', 'emotion']",1,959.5579833984375,tensor(0.6499),9.883241653442383,0.5295637
"['animosity', 'feeling']",1,504.380859375,tensor(0.7450),9.74742317199707,0.411777
"['annals', 'periodical']",1,894.8121337890625,tensor(0.5946),2.318195343017578,0.4351383
"['anorexia', 'disorder']",1,1248.416259765625,tensor(0.6233),9.776042938232422,0.5916621
"['answer', 'statement']",1,590.5595703125,tensor(0.6724),9.494293212890625,0.58886063
"['ant', 'insect']",1,735.52783203125,tensor(0.7480),5.5760040283203125,0.75597095
"['ant', 'invertebrate']",1,1958.8433837890625,tensor(0.5570),23.750709533691406,0.6064859
"['antibiotic', 'drug']",1,913.3681640625,tensor(0.6738),22.421586990356445,0.6400577
"['antibody', 'molecule']",1,814.0455322265625,tensor(0.6874),1.0652656555175781,0.67402846
"['antiquity', 'era']",1,449.44464111328125,tensor(0.6875),7.586933135986328,0.47695407
"['apathy', 'feeling']",1,422.3955078125,tensor(0.7646),39.369903564453125,0.54391795
"['ape', 'animal']",1,440.7412109375,tensor(0.7641),10.548309326171875,0.65316343
"['ape', 'mammal']",1,702.5386962890625,tensor(0.7064),25.699172973632812,0.60178185
"['aphid', 'insect']",1,1425.8651123046875,tensor(0.6392),10.251106262207031,0.73145336
"['aphid', 'invertebrate']",1,1891.5596923828125,tensor(0.6431),2.155597686767578,0.6686724
"['apostle', 'believer']",1,804.8138427734375,tensor(0.7050),1.5179176330566406,0.547883
"['apple', 'solid']",1,762.2034912109375,tensor(0.5248),4.7694091796875,0.18266223
"['apprehension', 'fear']",1,390.0103759765625,tensor(0.7944),2.679401397705078,0.6919192
