Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,481.60479736328125,tensor(0.7194),0.8600006103515625,0.46957868
"['accusation', 'statement']",1,505.809326171875,tensor(0.7130),0.491302490234375,0.6141321
"['ache', 'pain']",1,361.07733154296875,tensor(0.8394),2.6804161071777344,0.792009
"['acid', 'chemical']",1,570.4931640625,tensor(0.7287),4.122688293457031,0.6688291
"['acoustics', 'discipline']",1,696.684814453125,tensor(0.5654),1.5450325012207031,0.2169103
"['adjective', 'word']",1,518.9143676757812,tensor(0.7477),2.3165206909179688,0.54793906
"['adrenaline', 'chemical']",1,708.2925415039062,tensor(0.6080),10.036203384399414,0.3185321
"['adrenaline', 'neurotransmitter']",1,3314.550048828125,tensor(0.5560),15.365821838378906,0.4601583
"['aesthetic', 'doctrine']",1,862.330322265625,tensor(0.6288),1.5562400817871094,0.25206384
"['affection', 'feeling']",1,428.38531494140625,tensor(0.7165),1.08880615234375,0.42875603
"['affidavit', 'document']",1,697.8184814453125,tensor(0.7055),0.9934158325195312,0.4909209
"['agony', 'feeling']",1,393.998046875,tensor(0.7080),10.13355827331543,0.5588775
"['aide', 'serviceman']",1,789.716796875,tensor(0.6037),5.084007263183594,0.51717037
"['aircraft', 'vehicle']",1,680.558837890625,tensor(0.6660),0.8888664245605469,0.69587916
"['aircrew', 'crew']",1,1060.4771728515625,tensor(0.5810),3.177539825439453,0.6381318
"['airman', 'worker']",1,1388.09228515625,tensor(0.4722),2.5705184936523438,0.53281397
"['airplane', 'vehicle']",1,641.6119384765625,tensor(0.6667),9.401639938354492,0.66822845
"['alcohol', 'fluid']",1,889.371826171875,tensor(0.6133),3.637401580810547,0.28727418
"['alderman', 'representative']",1,505.734375,tensor(0.6504),1.5514183044433594,0.39338923
"['ale', 'alcohol']",1,576.9825439453125,tensor(0.7447),14.535030364990234,0.4799216
"['ale', 'fluid']",1,1032.1866455078125,tensor(0.5514),8.35892105102539,0.196772
"['alga', 'microorganism']",1,2915.356689453125,tensor(0.5260),7.586677551269531,0.7121451
"['algebra', 'mathematics']",1,878.3516845703125,tensor(0.7105),0.8357200622558594,0.7933232
"['algebra', 'science']",1,920.8409423828125,tensor(0.5487),16.147666931152344,0.54851
"['alley', 'thoroughfare']",1,1302.51806640625,tensor(0.6591),1.7929878234863281,0.58826977
"['almond', 'tree']",1,705.9780883789062,tensor(0.6342),3.777179718017578,0.5245944
"['alpha', 'symbol']",1,1001.035400390625,tensor(0.5502),3.181415557861328,0.37569895
"['ambassador', 'diplomat']",1,456.2606201171875,tensor(0.8438),0.8581275939941406,0.7076417
"['ambassador', 'worker']",1,765.034912109375,tensor(0.5602),1.0691070556640625,0.3793004
"['amphetamine', 'drug']",1,792.2835693359375,tensor(0.7399),4.4209442138671875,0.69282365
"['amphibian', 'vehicle']",1,1286.875,tensor(0.5075),21.1597900390625,0.4021765
"['anaesthetic', 'drug']",1,980.5655517578125,tensor(0.6422),12.194816589355469,0.46552542
"['anaesthetist', 'adult']",1,1236.9505615234375,tensor(0.5276),2.747608184814453,0.2869893
"['anaesthetist', 'professional']",1,1036.78564453125,tensor(0.4897),15.381340026855469,0.37288308
"['analogy', 'inference']",1,592.83935546875,tensor(0.7107),0.8929290771484375,0.6322878
"['anatomy', 'discipline']",1,482.00970458984375,tensor(0.6813),9.962881088256836,0.4001617
"['aneurysm', 'disorder']",1,1378.0682373046875,tensor(0.5765),1.1392707824707031,0.5999374
"['anger', 'emotion']",1,462.1552734375,tensor(0.7947),1.5576591491699219,0.6962952
"['anger', 'feeling']",1,383.6453857421875,tensor(0.7530),4.147377014160156,0.5643999
