Wordpair,True label,bert KL score,bert COS score,empirical KL score,empirical COS score
"['abstraction', 'concept']",1,11519.23828125,tensor(0.7194),0.8699111938476562,0.46957868
"['accusation', 'statement']",1,9369.96484375,tensor(0.7130),0.54156494140625,0.6141321
"['ache', 'pain']",1,8702.0517578125,tensor(0.8394),3.0226173400878906,0.792009
"['acid', 'chemical']",1,15112.1142578125,tensor(0.7287),4.581886291503906,0.6688291
"['acoustics', 'discipline']",1,29285.38671875,tensor(0.5654),1.643463134765625,0.2169103
"['adjective', 'word']",1,8296.642578125,tensor(0.7477),1.7965736389160156,0.54793906
"['adrenaline', 'chemical']",1,14072.427734375,tensor(0.6080),10.117752075195312,0.3185321
"['adrenaline', 'neurotransmitter']",1,33953.06640625,tensor(0.5560),15.630325317382812,0.4601583
"['aesthetic', 'doctrine']",1,31248.15625,tensor(0.6288),1.5458450317382812,0.25206384
"['affection', 'feeling']",1,12918.65625,tensor(0.7165),1.0910987854003906,0.42875603
"['affidavit', 'document']",1,18011.22265625,tensor(0.7055),1.1779136657714844,0.4909209
"['agony', 'feeling']",1,13882.09765625,tensor(0.7080),10.38766098022461,0.5588775
"['aide', 'serviceman']",1,23153.740234375,tensor(0.6037),5.528484344482422,0.51717037
"['aircraft', 'vehicle']",1,14812.7724609375,tensor(0.6660),0.9253768920898438,0.69587916
"['aircrew', 'crew']",1,19147.044921875,tensor(0.5810),2.622661590576172,0.6381318
"['airman', 'worker']",1,47835.34375,tensor(0.4722),2.693279266357422,0.53281397
"['airplane', 'vehicle']",1,12369.1904296875,tensor(0.6667),9.610021591186523,0.66822845
"['alcohol', 'fluid']",1,22167.419921875,tensor(0.6133),3.1110153198242188,0.28727418
"['alderman', 'representative']",1,23450.5625,tensor(0.6504),1.8405952453613281,0.39338923
"['ale', 'alcohol']",1,12892.615234375,tensor(0.7447),16.119274139404297,0.4799216
"['ale', 'fluid']",1,24659.9296875,tensor(0.5514),8.876209259033203,0.196772
"['alga', 'microorganism']",1,45400.4609375,tensor(0.5260),8.307518005371094,0.7121451
"['algebra', 'mathematics']",1,22167.2109375,tensor(0.7105),0.9284629821777344,0.7933232
"['algebra', 'science']",1,20594.5,tensor(0.5487),16.39893341064453,0.54851
"['alley', 'thoroughfare']",1,26550.318359375,tensor(0.6591),2.004474639892578,0.58826977
"['almond', 'tree']",1,10237.97265625,tensor(0.6342),3.066741943359375,0.5245944
"['alpha', 'symbol']",1,29467.697265625,tensor(0.5502),3.317371368408203,0.37569895
"['ambassador', 'diplomat']",1,11952.962890625,tensor(0.8438),0.8594894409179688,0.7076417
"['ambassador', 'worker']",1,24976.900390625,tensor(0.5602),0.9796829223632812,0.3793004
"['amphetamine', 'drug']",1,15591.076171875,tensor(0.7399),2.330402374267578,0.69282365
"['amphibian', 'vehicle']",1,35282.55859375,tensor(0.5075),21.37061309814453,0.4021765
"['anaesthetic', 'drug']",1,17965.59765625,tensor(0.6422),11.176301956176758,0.46552542
"['anaesthetist', 'adult']",1,22893.119140625,tensor(0.5276),2.3161277770996094,0.2869893
"['anaesthetist', 'professional']",1,15959.978515625,tensor(0.4897),15.655311584472656,0.37288308
"['analogy', 'inference']",1,16539.478515625,tensor(0.7107),0.9551544189453125,0.6322878
"['anatomy', 'discipline']",1,21535.232421875,tensor(0.6813),10.120447158813477,0.4001617
"['aneurysm', 'disorder']",1,33164.53515625,tensor(0.5765),1.2305145263671875,0.5999374
"['anger', 'emotion']",1,12578.8037109375,tensor(0.7947),1.7129669189453125,0.6962952
"['anger', 'feeling']",1,13948.5205078125,tensor(0.7530),4.2154998779296875,0.5643999
"['animosity', 'emotion']",1,21838.66796875,tensor(0.6499),9.909870147705078,0.5295637
"['animosity', 'feeling']",1,16058.41015625,tensor(0.7450),9.765962600708008,0.411777
"['annals', 'periodical']",1,26919.60546875,tensor(0.5946),2.4123916625976562,0.4351383
"['anorexia', 'disorder']",1,35368.0078125,tensor(0.6233),9.901599884033203,0.5916621
"['answer', 'statement']",1,18982.673828125,tensor(0.6724),9.616477966308594,0.58886063
"['ant', 'insect']",1,17868.751953125,tensor(0.7480),6.118522644042969,0.75597095
"['ant', 'invertebrate']",1,33525.79296875,tensor(0.5570),24.222579956054688,0.6064859
"['antibiotic', 'drug']",1,12658.0068359375,tensor(0.6738),22.07263946533203,0.6400577
"['antibody', 'molecule']",1,15251.640625,tensor(0.6874),1.1420974731445312,0.67402846
"['antiquity', 'era']",1,13870.2138671875,tensor(0.6875),3.2379226684570312,0.47695407
"['apathy', 'feeling']",1,15361.158203125,tensor(0.7646),39.647308349609375,0.54391795
"['ape', 'animal']",1,7724.5810546875,tensor(0.7641),11.6131591796875,0.65316343
"['ape', 'mammal']",1,17625.02734375,tensor(0.7064),26.80590057373047,0.60178185
